g1_1,g1_2,g1_3,g1_4,g1_5,g1_6,g1_7,g1_8,g1_9,g1_10,g1_11,g1_12,g1_13,g1_14,g1_15,g1_16,g1_17,g1_18,g1_19,g1_20,g1_21,g2_1,g2_2,g2_3,g2_4,g2_5,g2_6,g2_7,g2_8,g2_9,g2_10,g2_11,g2_12,g2_13,g2_14,g2_15,g2_16,g2_17,g2_18,g2_19,g2_20,g2_21,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,class
1.57,9,10,19,4,10,6,11,11,4,0,4,3.341579244,3.293054272,12.71144298,7.446878228,1.250991145,1.570510254,0.024059575,0.030046773,0.585840509,6.5,13,4,17,9,15,9,5,8,6,-3,3,3.23585418,3.053600513,5.535089111,1.693078446,1.493704909,0.030046773,0.018592444,0.521839351,3.75,1.65,9,-1,8,0,0,0,0,3.565363819,5,-3,2,2,1,2,-4,7,-6,1,0.105725065,0.239453759,-0.242713764,-0.122568192,0,2.104559657,1.911789117,0.064001158,2.13,1
5.5,5,8,13,19,4,12,12,16,-8,-4,-12,2.141291347,2.338433511,10.06224465,4.433357526,1.001630018,1.87991157,0.087695132,0.012034232,0.440593295,1.73,18,16,34,2,11,4,10,4,7,6,13,4.364430755,4.052218268,7.1304731,1.108410371,0.343009929,0.028868623,0.088921617,0.450988752,3.5,2,-2,6,4,0,0,0,1,0.557802989,-11,-10,-21,0,2,8,5,-14,-11,-25,-2.223139408,-1.713784757,0.658620089,0.771501199,0,-5.748511297,-2.697115574,-0.010395457,1.74,2
2.1,16,10,26,18,17,16,19,39,1,-20,-19,2.470070439,2.334635413,12.82192631,3.92568624,1.224078587,1.406161172,0.758623251,0.000175127,0.306169771,4,22,17,39,11,19,21,11,16,-2,-5,-7,3.647526169,3.334390787,2.198610942,1.036418694,1.049811402,0.396311185,0.020445346,0.224841806,3.3,2.39,-1,6,5,0,0,0,0,2.473168738,-1,-12,-13,1,5,-2,20,6,-18,-12,-1.17745573,-0.999755374,0.174267185,0.369742478,0,3.04344702,1.727075298,0.081327965,1.57,0
4.2,9,4,13,9,12,7,4,6,5,-2,3,3.122397848,2.83757023,6.450944,4.45134592,1.96304384,1.5111424,0.013680203,0.012462888,0.69003016,1.91,9,6,15,5,15,4,7,8,11,-1,10,3.563870012,3.117835891,9.13911552,2.31655424,1.26033408,0.011947631,0.013773622,0.577753937,3.4,1.79,-4,7,3,0,0,1,1,2.161983212,3,-5,-2,4,0,0,-9,6,-13,-7,-0.441472163,-0.28026566,0.70270976,-0.80541184,0,-9.36740864,-4.6877696,0.112276223,1.95,1
1.75,6,2,8,4,6,3,3,3,3,0,3,2.85104125,2.66740025,9.496,6.296,1.2432,0.8208,0.003958835,0.004127844,0.663016007,4.75,4,4,8,8,6,1,2,0,5,2,7,3.079359245,2.650649849,4.6976,1.52,0.2,0.004084502,0.003985869,0.508310249,3.6,1.69,1,5,6,0,1,0,1,2.844691721,2,-2,0,6,1,2,-3,1,-5,-4,-0.228317995,0.016750401,1.0432,-0.6992,0,0.2544,1.5984,0.154705757,2.14,0
2.62,25,12,37,6,20,8,16,14,12,2,14,4.365878928,3.957128529,14.14212228,7.124657814,1.648091907,0.817355777,0.133468619,0.064248301,0.503789861,2.6,25,19,44,4,19,5,14,8,14,6,20,4.949976064,4.426468831,9.941268489,1.629771967,0.321044897,0.037062897,0.158025321,0.566942128,3.2,2.05,-3,9,6,0,1,0,1,0.670214741,6,-13,-7,12,-6,11,-5,6,-12,-6,-0.584097136,-0.469340301,1.32704701,-0.81241619,0,-3.392768836,-2.816610676,-0.063152268,1.65,2
1.66,7,9,16,11,6,5,9,8,1,1,2,3.091613983,2.915342869,8.691998863,4.592459428,1.29108095,1.109620654,0.031216591,0.014625335,0.528354812,5.75,7,4,11,13,6,6,5,9,0,-4,-4,2.586492704,2.512260972,6.061586719,0.974058844,1.216866673,0.034047455,0.008026554,0.588213851,3.5,2.07,2,-2,0,1,0,0,0,1.460743136,3,2,5,-3,0,3,2,5,1,6,0.50512128,0.403081897,0.074214277,0.13556181,0,-1.613074207,-1.469127291,-0.059859039,1.69,1
2.1,17,11,28,6,16,11,15,17,5,-2,3,3.689746596,3.63712776,9.55996037,4.346174082,1.084656062,1.562966826,0.166589559,0.025991129,0.454622604,3.4,19,5,24,12,16,10,8,16,6,-8,-2,3.17262058,2.851584542,5.255227209,1.285232868,1.168894723,0.216145053,0.008026554,0.463350927,3.25,1.85,5,13,18,0,0,0,0,3.374960572,12,-8,4,0,3,5,1,13,-8,5,0.517126016,0.785543218,-0.084238661,0.277733958,0,-1.781825957,-0.909053127,-0.008728323,1.85,1
1.444,8,12,20,6,10,6,10,6,4,4,8,3.470809792,3.153508198,10.03521153,4.468227473,1.305842778,0.569753469,0.035181946,0.023992836,0.445254937,6.5,9,6,15,13,8,7,6,8,1,-2,-1,2.874607803,2.706975257,3.825168605,1.26792489,1.179894632,0.043330917,0.014264234,0.415465561,3.75,1.73,5,-2,3,1,0,0,0,1.949537942,2,3,5,2,0,3,-2,6,3,9,0.596201989,0.446532941,0.125948146,-0.698171421,0,0.828266439,0.643058868,0.029789376,1.95,1
6,29,17,46,13,19,19,22,32,0,-10,-10,3.927242441,3.394248613,12.49465344,4.293349587,1.812250543,1.604638184,0.800737403,0.001064766,0.34361494,1.53,38,27,65,4,47,21,23,19,26,4,30,4.8955,4.90046378,4.791615121,2.153496487,1.431926685,0.053926197,0.2780373,0.387811368,4.75,1.53,-3,7,4,0,0,0,1,2.529439254,2,-21,-19,0,-4,1,-15,-4,-36,-40,-0.968257559,-1.506215167,0.380323858,-0.548858303,0,0.139123088,-0.498265534,-0.044196428,2.45,0
2.25,1,4,5,18,1,13,1,0,-12,1,-11,2.076545015,2.206669643,10.460736,4.880256,0.2304,1.201664,0.008188701,0.00447164,0.466530844,3.3,4,1,5,18,4,4,3,6,0,-3,-3,2.409195506,2.53301732,3.967232,0.803392,1.385856,0.008188701,0.004966698,0.638511774,3.25,2.13,1,-1,0,0,0,0,0,1.091317886,0,0,0,-5,10,-3,-4,-9,1,-8,-0.332650491,-0.326347677,-1.155456,0.398272,0,4.247488,0.913024,-0.171980929,1.68,1
2.45,5,7,12,17,4,8,9,15,-4,-6,-10,2.272704368,2.347743171,13.64556995,3.268161075,1.05548588,1.701583412,0.110250525,0.001224773,0.23950345,2.9,11,11,22,9,10,8,11,12,2,-1,1,2.983877124,2.97357071,3.959366659,0.924696799,1.050517753,0.077908344,0.014920786,0.338386469,3.2,2.3,2,-1,1,0,0,0,0,1.615454307,-6,-4,-10,-8,-3,1,5,-3,-8,-11,-0.711172756,-0.625827539,0.004968127,0.776886613,0,1.944845998,-0.691205585,-0.098883019,1.61,1
1.3,32,23,55,5,27,17,23,26,10,-3,7,4.539554717,4.525199086,14.79905561,8.263042412,1.651432895,1.727634037,0.238380084,0.189190658,0.558349305,10,16,18,34,18,26,34,22,36,-8,-14,-22,2.570446204,2.753234662,6.319597644,1.107637233,2.378984971,0.952683802,0.001017914,0.509508531,5.5,1.39,0,1,1,0,1,0,0,3.706719244,14,7,21,-9,-5,-11,0,24,5,29,1.969108513,1.771964424,-0.727552076,0.619996804,0,2.395735025,1.943444768,0.048840774,2.84,0
3.1,1,7,8,14,2,6,2,0,-4,2,-2,2.620776992,2.459786684,8.017344,2.745472,0.5328,0.503808,0.008160317,0.004966698,0.342441587,2.5,4,5,9,8,5,5,3,0,0,3,3,2.867561887,2.690465071,2.98176,0.856832,0.495872,0.007746179,0.006409333,0.325428701,3.3,2.23,-2,4,2,0,0,0,0,1.367256102,-4,3,-1,2,3,-3,-5,-7,2,-5,-0.246784895,-0.230678387,0.036928,-0.353024,0,-1.145216,-0.236288,0.017012885,1.64,2
3.5,7,4,11,18,6,12,5,17,-6,-12,-18,1.866564323,2.060499127,8.668535784,3.067233254,0.548579637,1.782647044,0.070759235,0.00504176,0.353835219,2.3,7,7,14,17,11,10,13,16,1,-3,-2,2.756605078,2.645376465,3.99167752,2.112286061,2.139205967,0.071005354,0.00960953,0.342691278,3.3,2.07,0,1,1,0,0,0,0,2.36467985,0,-3,-3,-10,-1,-5,6,-3,-13,-16,-0.890040754,-0.584877338,-1.59062633,-0.329639016,0,-2.979491974,-0.924444267,0.01114394,1.75,0
1.533,28,20,48,4,27,10,21,17,17,4,21,3.15173386,2.771059836,8.190912,4.123584,1.57408,1.033792,0.131171454,0.331210882,0.50343405,5.5,23,14,37,12,19,14,13,17,5,-4,1,3.664378881,3.55916792,5.816175191,0.836244861,1.171593896,0.428603846,0.053933687,0.493916032,3.5,1.7,6,-7,-1,1,0,1,0,3.214003534,14,-3,11,10,-3,7,-2,21,-1,20,-0.512645021,-0.788108083,0.402486104,0.197547139,0,-3.584723565,-1.692591191,0.009518018,1.9,2
2.05,9,14,23,16,6,11,18,22,-5,-4,-9,2.806354735,2.719432915,13.34713106,3.332815883,1.389110586,1.568255925,0.429557358,0.000314351,0.249702791,3.6,15,2,17,19,17,23,8,30,-6,-22,-28,1.562264222,1.488140565,4.841751017,1.486565836,1.935408973,0.3623521,1.09E-05,0.346265944,3.4,1.9,1,0,1,0,0,0,0,0.156217903,7,-1,6,-24,3,-5,5,17,2,19,1.244090513,1.23129235,-0.546298387,0.081690088,0,-0.635621519,-1.508935134,-0.096563152,1.9,1
1.83,1,1,2,13,1,1,2,2,0,0,0,2.5,2.5,3.32,2.16,0.52,0.52,0.002179909,0.001930454,0.65060241,4.33,0,0,0,15,1,3,1,2,-2,-1,-3,2.309423868,2.442684774,2.84,0.36,0.88,0.002187491,0.001827146,0.581967213,3.3,2,1,2,3,0,0,1,0,3.149188728,1,1,2,-1,0,-1,1,1,2,3,0.190576132,0.057315226,-0.36,0.16,0,-1.56,-0.68,0.068635197,1.69,1
6,19,0,19,16,18,13,5,24,5,-19,-14,2.348240922,2.329676461,16.25541796,4.785974594,1.110723215,1.48815564,0.277073567,0.007262726,0.294423349,1.62,25,12,37,3,22,8,12,13,14,-1,13,4.371126227,4.157611427,3.453060181,1.21778801,0.769923838,0.101929669,0.135335283,0.346397971,4.2,1.79,-3,3,0,0,0,0,0,2.838635404,7,-25,-18,5,1,-3,2,6,-33,-27,-2.022885305,-1.827934966,0.340799377,0.27036763,0,6.286941025,1.332914413,-0.051974622,2.01,2
1.833,28,17,45,5,20,12,15,20,8,-5,3,4.26953716,3.987209782,11.88127294,6.151950236,1.565280726,1.287968189,0.131171454,0.331210882,0.517785448,3.75,26,13,39,8,18,11,10,15,7,-5,2,3.97854784,3.892102506,5.435285236,0.691531355,0.992973012,0.277689971,0.142987223,0.471053417,3.25,1.8,7,5,12,0,0,0,0,2.982930351,15,-9,6,5,2,4,2,13,-12,1,0.290989321,0.095107276,0.572307714,0.596436834,0,0.34269782,0.716664999,0.046732031,1.8,1
1.36,30,34,64,5,23,11,27,13,12,14,26,5,4.849233661,12.75940545,4.813573138,1.443289048,0.242864654,0.040558902,0.299692,0.377256852,8,18,10,28,18,22,33,15,35,-11,-20,-31,1.89495997,2.036727548,2.907334822,0.645200901,1.570298232,0.91038391,1.47E-05,0.298556004,4.75,1.78,4,-2,2,1,0,0,0,2.453019043,20,16,36,-12,-4,-6,-9,32,25,57,3.10504003,2.812506113,-0.127009184,-0.402336247,0,3.021417338,1.906238316,0.078700848,2.03,0
2.5,14,8,22,12,9,11,8,20,-2,-12,-14,2.467126424,2.382509967,10.18203562,3.757609894,1.325841237,1.722360395,0.181444482,0.000611253,0.369043091,3.2,14,5,19,17,13,19,9,21,-6,-12,-18,2.139182973,2.204567071,3.479836923,1.212832596,2.116211976,0.197898699,9.85E-05,0.322882046,3.2,2.3,0,1,1,0,0,0,0,0.780486136,9,-6,3,-12,2,-11,7,10,-6,4,0.327943451,0.177942896,-0.790370739,0.509527799,0,-0.595389026,0.27777297,0.046161044,1.62,0
1.73,6,1,7,5,5,0,1,4,5,-3,2,2.833595955,2.708283191,7.056,4.544,0.7552,0.728,0.00381048,0.004232341,0.64399093,4.75,1,0,1,20,2,4,2,5,-2,-3,-5,2.193483766,2.3853288,1.4672,0.5184,1.2944,0.004258285,0.002101718,0.36159306,3.75,1.92,1,1,2,0,0,0,0,1.464250056,6,0,6,0,-2,-3,2,8,-1,7,0.64011219,0.322954391,-0.5392,0.2096,0,2.9984,3.0768,0.28239787,1.88,1
2.5,0,0,0,16,1,2,1,4,-1,-3,-4,2.259423868,2.424684774,3.48,1.96,0.36,1.04,0.002187491,0.002019309,0.563218391,2.625,0,0,0,16,0,1,0,1,-1,-1,-2,2.36,2.4608,2.4,0,0.36,0.002187491,0.001827146,0.447761194,3,1.9,-1,2,1,0,0,0,0,1.253578591,0,0,0,0,2,0,4,0,-2,-2,-0.100576132,-0.036115226,0,1.04,0,-1.88,-0.44,0.115457197,1.9,1
1.29,23,12,35,5,22,7,14,12,15,2,17,4.205943012,4.270980726,14.53202704,7.758001182,1.090931498,1.401361152,0.140780188,0.185444432,0.533855405,11,15,10,25,9,12,9,14,25,3,-11,-8,2.836089947,2.85210786,5.245305364,1.224910147,1.932561673,0.245367056,0.07730474,0.512615437,5.5,1.59,6,-7,-1,0,1,0,0,3.214003534,13,-3,10,-3,-7,5,0,26,-1,25,1.369853064,1.418872866,-0.841630175,0.176451005,0,4.299589652,2.512695818,0.021239968,2.27,1
2.2,21,6,27,17,23,22,11,29,1,-18,-17,2.768339254,2.648153197,9.300777389,4.479144753,1.10226656,1.75264702,0.882496903,7.02E-07,0.481588212,3.25,28,14,42,10,24,14,14,26,10,-12,-2,3.677905735,3.460177824,5.020341423,1.363192592,1.202839181,0.446839613,0.000296045,0.532567411,3.2,2,0,-1,-1,0,0,0,0,1.677597012,7,-22,-15,-3,8,-3,5,13,-28,-15,-0.909566481,-0.812024627,-0.100572621,0.389454427,0,-0.125900473,-0.54119667,-0.050979199,1.71,2
7.5,7,3,10,19,7,11,6,21,-4,-15,-19,1.701297802,2.003013861,8.082295367,3.428502904,0.726526534,2.220713484,0.086185787,0.00098783,0.42419916,1.5,16,16,32,3,13,7,15,5,6,10,16,4.547449979,3.923350442,6.647421266,1.90551837,0.604861377,0.032599047,0.048557821,0.418039946,4.5,1.8,-4,8,4,0,0,0,1,0.235973271,-9,-13,-22,2,-4,-1,8,-14,-21,-35,-2.846152178,-1.920336581,0.121665158,0.315195114,0,-7.819106691,-3.218918362,0.006159213,2.02,1
2.25,3,2,5,14,5,3,2,3,2,-1,1,2.628918652,2.525565679,8.91264,4.838016,1.033536,0.803456,0.008160317,0.00447164,0.542826368,3.2,1,3,4,20,1,3,2,5,-2,-3,-5,2.29097176,2.381246936,5.000768,0.275456,0.877312,0.008160317,0.003517517,0.586984284,3.4,1.99,-1,6,5,0,0,0,0,2.473168738,0,1,1,0,1,-1,2,5,1,6,0.337946892,0.144318743,0.156224,0.528,0,0.393216,-0.162752,-0.044157916,1.79,0
1.83,19,16,35,8,20,17,18,27,3,-9,-6,3.272945357,3.144930523,12.7855716,6.614301123,1.167792344,1.419026753,0.337292236,0.004966698,0.517325414,4.33,9,11,20,20,11,24,12,28,-13,-16,-29,1.693820555,1.753727139,5.878254772,0.712604,1.654126478,0.598164853,1.54E-05,0.533889672,3.6,1.8,1,1,2,0,0,0,0,4.069221919,8,7,15,-8,5,-6,16,19,4,23,1.579124803,1.391203384,-0.486334134,0.706422753,0,1.775329069,0.736046351,-0.016564258,1.98,0
1.66,38,7,45,13,30,21,17,37,9,-20,-11,3.302221332,3.02023718,9.552078575,4.351168068,1.241516198,1.464239488,0.843547649,2.54E-05,0.455520548,5.5,26,19,45,14,28,30,20,27,-2,-7,-9,3.887033265,3.652885967,5.706866042,0.948172942,0.961500912,0.882496903,1.60E-05,0.574786355,3.4,2,2,4,6,0,0,1,0,0,19,-19,0,3,1,-13,9,16,-18,-2,-0.584811933,-0.632648788,0.280015286,0.516066545,0,-0.376594908,-1.355697974,-0.119265807,1.74,1
2.88,4,1,5,14,3,6,2,4,-3,-2,-5,2.378999182,2.52970199,9.089344,2.278016,0.60032,1.543936,0.008160317,0.00447164,0.250624908,2.45,4,4,8,8,3,5,1,0,-2,1,-1,2.649270863,2.603195155,2.415872,0.40576,0.61984,0.007746179,0.005946217,0.249217646,3.2,2.17,1,-1,0,0,0,0,0,2.225344964,0,-3,-3,3,5,-3,1,-4,0,-4,-0.27027168,-0.073493165,-0.01952,1.138176,0,-0.60448,-0.137856,0.001407261,1.69,1
3.1,17,13,30,16,19,28,16,31,-9,-15,-24,2.367548702,2.377566316,10.97016772,3.112385005,1.328554384,2.134644954,0.835270211,5.22E-05,0.28371353,2.3,24,20,44,7,22,19,16,19,3,-3,0,3.974494369,3.883729211,2.907355325,1.106790457,1.185074303,0.422927058,0.003606563,0.305276068,3.2,2.3,0,2,2,1,0,0,0,1.203052299,-3,-11,-14,0,12,-3,9,-6,-18,-24,-1.606945667,-1.506162895,0.143480081,1.027854497,0,1.446475462,0.20502968,-0.021562538,1.61,1
2.9,4,0,4,11,3,2,0,6,1,-6,-5,2.34297967,2.48130166,5.3744,1.17056,0.3648,1.22592,0.005955309,0.003985869,0.217802918,2.7,3,4,7,17,5,6,5,3,-1,2,1,2.788820521,2.532077389,3.33472,1.55232,1.19072,0.005976023,0.003263353,0.483573086,3.2,2.22,1,0,1,0,0,0,0,2.814465723,0,-3,-3,0,-3,-6,1,-1,-5,-6,-0.445840851,-0.050775729,-0.82592,-0.3264,0,-1.5216,-2.16416,-0.265770168,1.65,1
1.95,5,8,13,18,6,9,6,6,-3,0,-3,2.631158925,2.614825718,9.143070372,3.105014436,1.035889582,1.546343731,0.034047455,0.01105359,0.339603034,4.5,13,1,14,13,10,6,1,9,4,-8,-4,2.815229284,2.590471112,2.697319281,1.185102131,1.238487572,0.033929439,0.016572675,0.307687146,3.4,2.34,1,-1,0,0,0,0,0,1.307426135,4,-5,-1,-3,8,0,-4,5,-4,1,-0.184070359,0.024354607,-0.20259799,0.3612416,0,0.376635658,0.407695155,0.031915887,1.58,1
1.9,9,10,19,2,8,2,9,3,6,6,12,3.801256257,3.301809991,14.0793344,6.64087808,1.6279936,0.53787904,0.009802294,0.014264234,0.47167557,4,10,1,11,10,8,2,1,7,6,-6,0,2.840768927,2.708048191,6.18663168,0.93560064,0.89289984,0.013680203,0.012462888,0.463842,3.25,2.19,9,-3,6,0,1,0,1,0.670214741,8,0,8,1,1,7,-5,12,0,12,0.96048733,0.593761801,0.73509376,-0.3977216,0,0.74153472,0.4542464,0.00783357,1.61,1
2.1,21,15,36,16,23,25,19,32,-2,-13,-15,2.86206836,2.875867353,12.64212199,3.707170492,0.89203612,1.638281123,0.996533799,1.60E-05,0.293239576,3.75,36,11,47,10,27,17,16,34,10,-18,-8,3.901129313,3.578252383,4.609565076,1.596853453,1.026087911,0.754839602,0.001533811,0.326768925,3.6,1.84,-2,1,-1,0,0,0,0,0.523834873,10,-21,-11,-11,9,2,5,16,-23,-7,-1.039060953,-0.70238503,-0.134051791,0.04142767,0,-1.464375681,-0.902394584,-0.033529349,1.96,2
2.25,31,11,42,14,30,18,12,35,12,-23,-11,3.397485591,3.145711113,11.13958422,5.989065533,1.213880528,1.372768111,0.945959469,0.000147748,0.537638157,3,28,20,48,11,25,23,18,24,2,-6,-4,4.138313162,3.899869123,9.552483818,1.233076072,1.390205636,0.843547649,0.000497955,0.618850499,3.3,1.9,3,0,3,0,0,0,0,0,11,-17,-6,6,0,-11,10,18,-25,-7,-0.740827571,-0.754158011,-0.176325108,0.139692038,0,-4.296266326,-3.563418285,-0.081212342,1.79,1
5.5,3,1,4,17,3,3,0,0,0,0,0,2.621140419,2.506428084,7.64,2.368,0.528,0.456,0.003088715,0.002242868,0.309947644,1.61,3,4,7,1,3,2,3,2,1,1,2,2.84125,2.64665,2.928,0.904,0.616,0.002831905,0.003088715,0.485411141,3.6,2.07,0,9,9,0,0,0,1,1.980927679,-1,-2,-3,1,0,-2,-3,-1,-1,-2,-0.220109581,-0.140221916,-0.088,-0.448,0,1.608,-0.56,-0.175463497,1.67,1
2.29,14,6,20,14,13,19,10,27,-6,-17,-23,1.895579762,2.134931701,9.497551775,3.547095631,0.936212862,2.514375665,0.274202364,0.000203468,0.373474735,3.5,11,8,19,17,9,13,10,17,-4,-7,-11,2.309579186,2.382321069,2.95082053,0.749331884,1.335739353,0.2780373,9.33E-05,0.278532324,3.29,2.07,3,3,6,0,0,0,0,2.06297074,6,-5,1,-4,9,-3,18,1,-13,-12,-0.413999424,-0.247389368,-0.399526492,1.76504378,0,-1.096624486,0.596275101,0.094942411,1.77,2
2.87,5,3,8,17,2,2,3,12,0,-9,-9,2.223657189,2.322585542,7.078578688,1.489424384,0.40182784,1.310679552,0.019841095,0.005516564,0.210412916,2.5,6,5,11,13,7,8,5,4,-1,1,0,2.771002386,2.560998304,2.096812544,1.26768384,1.00297984,0.019567429,0.007446583,0.305836524,3.2,2.5,0,-1,-1,0,0,0,0,2.438900631,0,-3,-3,-2,-3,-5,5,-1,-8,-9,-0.547345198,-0.238412763,-0.601152,0.042995712,0,0.222587392,-0.60738816,-0.095423607,1.53,0
2.75,2,4,6,16,4,5,3,3,-1,0,-1,2.548031812,2.56379256,8.2048,4.93056,1.00672,1.2128,0.008188701,0.005461674,0.600936037,2.25,6,6,12,5,4,1,6,3,3,3,6,3.281937215,2.898880188,3.901568,1.090368,0.44032,0.007746179,0.007226503,0.45026294,3.25,1.82,0,0,0,1,0,1,0,0.918262232,-4,-2,-6,1,-1,2,-1,-4,-3,-7,-0.733905403,-0.335087628,0.5664,0.122432,0,-0.460288,1.028992,0.150673097,1.85,1
2.15,9,7,16,6,9,3,6,6,6,0,6,3.367024261,2.985672241,14.18901504,4.99577344,1.57159168,0.84701184,0.0112628,0.012462888,0.352087402,3.8,7,7,14,7,8,4,5,4,4,1,5,3.197609995,3.013583011,4.13212928,1.15254272,0.80098304,0.012586394,0.012462888,0.318789341,3.4,2.07,9,5,14,0,0,1,0,2.887398491,2,0,2,5,-2,2,-2,5,-4,1,0.169414267,-0.02791077,0.77060864,-0.30553088,0,1.227072,0.86364416,0.033298061,1.75,1
2,19,8,27,11,16,17,11,25,-1,-14,-15,2.409024907,2.773286248,10.31475032,5.554052268,0.440531318,2.201874037,0.3623521,0.011220644,0.538457267,4,13,12,25,14,13,18,8,19,-5,-11,-16,2.588557891,2.350981926,5.037909159,0.814273569,1.056883377,0.423632524,0.000939653,0.524800266,3.25,1.97,2,-1,1,0,0,0,0,0,7,-5,2,-3,9,-7,12,10,-9,1,-0.179532984,0.422304322,-0.616352059,1.387600468,0,0.71508072,0.516143109,0.013657001,1.78,0
7.5,8,7,15,20,8,19,10,18,-11,-8,-19,2.142327434,1.946795118,10.2635588,5.626152183,0.712420804,1.112223766,0.331210882,8.40E-05,0.548167774,1.5,29,22,51,2,27,9,18,10,18,8,26,3.254111495,2.758496495,4.792,1.232,0.384,0.0202391,0.2937577,0.582684825,4.5,1.68,-1,3,2,0,0,0,1,2.787341531,-14,-22,-36,-2,1,1,-9,-19,-26,-45,-1.111784061,-0.811701378,0.328420804,-0.119776234,0,2.039558798,0.834152183,-0.034517051,2.16,0
1.72,42,40,82,2,36,10,27,13,26,14,40,4.848007019,4.904472079,12.26679489,6.324086454,1.287420446,0.558304458,0.00162843,0.782704538,0.515545137,4.75,37,20,57,6,33,17,18,18,16,0,16,4.954131473,4.567917037,5.837234283,1.792595489,1.191896341,0.285511714,0.008188701,0.494625037,3.5,1.95,9,-2,7,0,1,0,0,3.396010297,22,3,25,18,-8,10,-20,26,-2,24,-0.106124454,0.336555042,0.095524106,-1.234291031,0,0.465462865,0.486852171,0.020920101,1.8,0
2.75,1,0,1,20,2,3,1,3,-1,-2,-3,2.309210965,2.428176543,6.9168,3.6512,0.3904,0.8528,0.004302874,0.003135395,0.527874161,2.5,6,2,8,5,4,1,2,2,3,0,3,2.9036375,2.6710475,3.3952,0.8784,0.4304,0.003958835,0.00381048,0.633432836,3.2,2.04,1,0,1,0,0,0,0,1.714187504,-1,-6,-7,0,1,0,-1,-1,-5,-6,-0.594426535,-0.242870957,-0.04,-0.0256,0,1.5568,0.256,-0.105558674,1.68,0
1.7,0,4,4,10,0,0,5,6,0,-1,-1,2.560277675,2.543163354,8.808,2.296,0.712,0.904,0.003046113,0.002579912,0.260672116,5.5,4,0,4,16,2,1,1,2,1,-1,0,2.607815421,2.501403084,2,0.528,0.456,0.003088715,0.002242868,0.323415265,4,1.75,4,-1,3,0,0,0,1,1.991056126,0,0,0,-2,-1,4,4,1,-2,-1,-0.047537746,0.04176027,0.256,0.376,0,2.624,0.296,-0.062743149,2.07,1
1.2,3,6,9,5,3,0,5,0,3,5,8,3.28875,2.78095,8.512,3.976,1.264,0,0.002831905,0.00307331,0.467105263,15,2,1,3,16,0,0,2,2,0,0,0,2.483425,2.495325,1.44,0.256,0.256,0.003078009,0.002417552,0.219244823,8,1.37,4,-4,0,0,1,0,0,2.568297675,2,4,6,1,-2,5,0,3,5,8,0.805325,0.285625,1.008,-0.256,0,1.944,2.536,0.24786044,2.98,1
2.25,23,8,31,9,20,17,9,28,3,-19,-16,2.634491663,2.713748757,8.844697346,2.47768199,1.02047274,2.180867265,0.460639799,0.000581442,0.280131913,3.2,17,10,27,14,16,19,8,20,-3,-12,-15,2.740509574,2.595309282,4.032065923,1.156387877,1.30988355,0.538542486,5.27E-05,0.292976556,3.25,2.25,1,-3,-2,1,0,0,0,3.530307007,13,-9,4,0,9,-10,12,15,-16,-1,-0.10601791,0.118439475,-0.28941081,1.024479388,0,-4.917720971,-1.554383934,-0.012844643,1.65,1
2.38,49,24,73,1,43,9,28,24,34,4,38,4.939758106,4.948516585,15.40080669,8.860869973,1.280785761,0.746378618,0.006513431,0.980198673,0.575351029,3.1,44,26,70,2,37,11,29,17,26,12,38,5,4.950258799,10.09124805,2.210116549,0.688900562,0.027999866,0.818730753,0.577165976,3.25,2.09,5,9,14,0,1,0,1,2.887398491,23,-20,3,26,-20,17,-13,22,-22,0,-0.060241894,-0.001742214,0.591885199,-1.463737931,0,-2.083328672,-1.230378072,-0.001814947,1.71,1
2.6,2,1,3,19,5,7,1,10,-2,-9,-11,1.903959757,2.227526119,7.44147456,2.92222976,0.73188608,2.25146368,0.013680203,0.006409333,0.392694988,2.88,4,5,9,12,6,7,6,7,-1,-1,-2,2.608877564,2.582751461,3.29250304,1.21996544,1.43995392,0.014869068,0.009951818,0.282333412,3.4,1.89,4,3,7,0,0,0,0,3.75837713,-3,-3,-6,-2,1,-6,4,-1,-8,-9,-0.704917807,-0.355225342,-0.70806784,1.03149824,0,-4.22028032,-0.37027328,0.110361576,1.91,1
2.75,3,0,3,17,6,6,4,12,0,-8,-8,2.134228681,2.272421627,7.944704,3.501696,1.303872,2.195648,0.008188701,0.003517517,0.440758523,2.6,6,3,9,6,9,2,4,7,7,-3,4,3.036070728,2.822696388,6.654144,1.39552,1.11296,0.007226503,0.006409333,0.695648974,3.3,1.74,3,2,5,0,0,0,0,1.300596149,0,-6,-6,-1,2,2,3,3,-15,-12,-0.901842048,-0.550274761,0.190912,0.800128,0,-1.620672,-3.152448,-0.254890451,2.09,0
